clave_ent,ent,clave_mun,mun,pobtot_00,pobtot0_5,pobtot_10,porc_pob_15+_analfa00,porc_pob_15+_analfa05,porc_pob_15+_analfa10,porc_pob6-14_noasiste00,porc_pob6-14_noasiste05,porc_pob6-14_noasiste10,porc_pob15+_basicainc00,porc_pob15+_basicainc05,porc_pob15+_basicainc10,porc_pob_snservsal00,porc_pob_snservsal05,porc_pob_snservsal10,porc_vivpisotierra00,porc_vivpisotierra05,porc_vivpisotierra10,porc_vivsnsan00,porc_vivsnsan05,porc_vivsnsan10,porc_snaguaent00,porc_snaguaent05,porc_snaguaent10,porc_vivsndren00,porc_vivsndren05,porc_vivsndren10,porc_vivsnenergia00,porc_vivsnenergia05,porc_vivsnenergia10,porc_vivsnlavadora00,porc_vivsnlavadora05,porc_vivsnlavadora10,porc_vivsnrefri00,porc_vivsnrefri05,porc_vivsnrefr10,irez_soc00,irez_soc05,irez_soc10,gdo_rezsoc00,gdo_rezsoc05,gdo_rezsoc10,l_ocupnac00,l_ocupnac05,l_ocupnac10,latitud ,longitud
1,Aguascalientes,1001,Aguascalientes,643419,723043,797010,3.8562,3.185919,2.57861,5.61393,3.832044,4.11986,42.97832,36.59555,30.90856,35.56874,26.49898,22.39257,2.32312,1.48556,1.29109,3.31002,3.55245,0.83403,2.13923,1.994297,1.54025,2.6767,1.332242,0.95588,1.32557,2.806767,0.33222,19.36242,15.39047,15.126,12.14456,7.636868,6.39426,-1.937437,-1.636908,-1.558484,Muy bajo,Muy bajo,Muy bajo,2415,2421,2415,21°53?00?N,102°18?00?W
1,Aguascalientes,1002,Asientos,37763,40547,45492,7.43317,6.748812,5.49744,9.2094,5.490578,3.63248,67.29678,58.29518,49.7641,67.21129,23.23723,13.76945,10.22556,7.120962,2.79804,22.72044,13.45202,8.70391,9.92481,4.31502,3.37764,20.95694,11.82504,8.46407,6.27478,3.996699,2.52823,38.40055,29.29733,26.99111,42.4607,26.12591,20.82542,-0.8655937,-0.9564168,-1.014475,Muy bajo,Muy bajo,Muy bajo,1898,2000,2074,22°14?00?N,102°06?00?W
1,Aguascalientes,1003,Calvillo,51291,50183,54136,8.19624,8.147171,6.16559,12.16249,8.93428,6.15399,72.28516,63.99924,57.00623,82.47256,26.86169,17.11061,4.8762,2.926481,2.54792,6.72612,3.426124,1.51161,6.01461,2.67666,2.70376,6.25178,1.668451,1.4259,2.83654,1.864739,1.08306,35.63229,23.02819,19.99377,26.13604,11.88437,9.05408,-1.000751,-1.122184,-1.101936,Muy bajo,Muy bajo,Muy bajo,2008,2143,2145,21°51?00?N,102°43?00?W
1,Aguascalientes,1004,Cosio,12619,13687,15042,6.21282,6.70957,4.31758,7.48181,4.179861,3.16436,62.00925,53.4235,43.32924,60.45645,26.82107,13.90772,6.01966,4.824259,3.4632,13.59541,9.200551,5.94517,8.51761,1.137147,2.0202,8.31286,5.582357,3.29004,2.90745,2.06754,2.10678,42.42424,32.63267,32.81385,40.29484,25.77533,20.8658,-1.142533,-1.078457,-1.133137,Muy bajo,Muy bajo,Muy bajo,2087,2103,2172,22°21?00?N,102°18?00?W
1,Aguascalientes,1005,Jesus Maria,64097,82623,99590,6.62415,5.327423,3.74449,9.60053,5.689278,4.91442,63.9477,51.94471,43.03718,46.96632,30.62343,22.33256,6.92401,2.719016,2.4818,8.59813,4.349298,2.00386,5.23364,3.39595,2.64404,6.96465,2.397473,1.67938,3.28322,3.418514,1.18828,28.35433,19.96954,18.91169,23.64892,11.47966,9.60712,-1.376062,-1.210941,-1.296495,Muy bajo,Muy bajo,Muy bajo,2225,2209,2288,21°58?00?N,102°21?00?W
1,Aguascalientes,1006,Pabellon de Arteaga,34296,38912,41862,6.24817,5.577623,4.07382,7.5752,5.350898,4.38778,52.87777,44.9837,38.83803,47.61197,29.69778,18.90497,3.71094,1.905104,1.54387,8.54868,3.774263,1.95911,3.54567,2.743829,4.54642,6.05469,2.68392,2.023,2.62921,2.096813,1.04344,27.94471,20.38102,18.9523,28.71094,14.01869,12.5213,-1.516934,-1.321357,-1.343856,Muy bajo,Muy bajo,Muy bajo,2284,2274,2315,22°10?00?N,102°21?00?W
1,Aguascalientes,1011,San Francisco de los Romo,20066,28832,35769,8.02037,6.089893,4.71976,8.30212,5.351067,4.76923,65.8465,51.34466,44.70367,50.93192,26.78274,18.55797,3.83112,1.914171,1.44584,8.39197,3.751158,1.37473,2.11102,2.454461,1.67101,5.70758,1.852424,0.92439,2.08496,2.099413,0.61626,25.6711,19.72831,20.21806,26.34871,11.46959,10.91491,-1.387751,-1.315585,-1.302303,Muy bajo,Muy bajo,Muy bajo,2232,2269,2293,21°49?00?N,102°18?00?W
2,Baja California,2001,Ensenada,370730,413481,466814,5.60424,5.051102,4.72579,9.00704,6.160282,5.20994,47.98466,42.10711,39.33904,37.31179,35.44806,23.60298,5.86068,3.722851,3.5231,7.99292,8.834527,3.26585,10.88701,8.471477,9.68717,25.65221,17.00271,15.55746,5.86543,9.687378,2.60599,28.74003,28.86929,24.53426,17.41446,18.76997,14.89061,-1.508573,-1.118027,-1.061772,Muy bajo,Muy bajo,Muy bajo,2276,2138,2115,31°52?00?N,116°37?00?W
2,Baja California,2002,Mexicali,764602,855962,936826,3.44528,2.88348,2.28671,5.69675,3.62694,3.12613,40.87063,35.29466,31.09959,33.73075,29.8907,23.13471,4.22595,2.529665,2.26416,4.29062,8.583431,1.58341,5.57346,2.866518,2.1744,18.94875,8.875835,6.63184,1.54264,7.899267,0.77052,16.96401,18.55306,13.62081,5.49596,9.666764,4.22051,-1.915273,-1.499303,-1.547936,Muy bajo,Muy bajo,Muy bajo,2411,2376,2413,32°39?07?N,115°28?06?W
2,Baja California,2003,Tecate,77795,91021,101079,4.04458,3.602565,2.44478,7.05865,3.71318,2.98323,49.55927,44.89087,40.08538,37.4857,31.76286,23.10272,4.02225,3.132707,3.2739,6.04215,13.70776,4.1308,19.53162,15.30007,14.20996,15,7.844749,6.58239,5.3103,15.13565,2.97034,27.04918,28.82177,20.23901,11.59251,18.09528,10.17138,-1.612292,-1.126701,-1.233523,Muy bajo,Muy bajo,Muy bajo,2322,2148,2242,32°34?00?N,116°38?00?W
2,Baja California,2004,Tijuana,1210820,1410700,1559683,2.88542,2.51525,2.08709,8.36174,5.101645,4.32052,44.88212,39.47918,35.38826,40.61058,38.55909,34.08199,5.2175,3.810241,3.84199,6.65342,13.11082,1.57991,12.28381,4.488271,3.52172,15.31412,4.432819,2.25494,2.48078,11.94576,0.70834,34.88857,33.5909,23.0893,11.50958,16.70905,7.65781,-1.629802,-1.152344,-1.345596,Muy bajo,Muy bajo,Muy bajo,2330,2172,2316,32°32?00?N,117°01?00?W
2,Baja California,2005,Playas de Rosarito,63420,73305,90668,4.07562,3.44995,2.82292,8.4281,4.577439,3.44634,53.41947,46.79994,41.37824,48.02428,48.24637,29.91463,4.72057,2.797126,3.32588,8.51226,17.39703,7.59195,32.67093,22.42637,14.58333,19.30105,4.996435,4.62227,4.88046,17.49026,1.49105,37.8864,38.7923,29.67197,14.69469,21.49948,14.33482,-1.323162,-0.8067162,-1.093959,Muy bajo,Muy bajo,Muy bajo,2189,1855,2140,,
3,Baja California Sur,3001,Comondu,63864,63830,70816,7.03224,6.101789,5.38125,5.93783,3.831292,3.82649,53.95533,47.13276,43.58314,47.78122,37.20037,18.18657,14.56639,11.03572,5.37029,7.14332,5.283699,3.00337,10.11645,6.10027,9.84641,35.80118,19.53167,14.7591,4.43693,6.220354,2.47738,47.02362,35.34074,30.33347,21.06564,13.37736,11.35073,-1.229378,-1.138846,-1.03934,Muy bajo,Muy bajo,Muy bajo,2135,2161,2094,,
